CANAL	DETALLE_CANAL	FECHA_CONCERTACION	OFICINA_CITA	FECHA_ATENCION	TAREA	ATENDIDA
Internet	Fijo	05/04/2017	OAC CIUDAD LINEAL	11/04/2017	PADRON	No
Internet	Fijo	16/05/2017	OAC CIUDAD LINEAL	23/05/2017	PADRON	Si
Internet	Fijo	24/08/2017	OAC FUENCARRAL EL PARDO	25/08/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Internet	Fijo	05/04/2017	OFICINA DE GESTION DEL TAXI	06/04/2017	LICENCIA DE AUTOTAXI	Si
Internet	Fijo	04/04/2017	OFICINA DE GESTION DEL TAXI	07/04/2017	LICENCIA DE AUTOTAXI	Si
Internet	Fijo	15/09/2017	OFICINA DE GESTION DEL TAXI	19/09/2017	LICENCIA DE AUTOTAXI	Si
Internet	Fijo	12/06/2017	OAC FUENCARRAL EL PARDO	16/06/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Internet	Fijo	18/09/2017	OAC FUENCARRAL EL PARDO	20/09/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Internet	Fijo	28/02/2017	OAC FUENCARRAL EL PARDO	01/03/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Internet	Fijo	12/06/2017	OAC FUENCARRAL EL PARDO	16/06/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Internet	Fijo	27/03/2017	OAC FUENCARRAL EL PARDO	30/03/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Internet	Fijo	12/06/2017	OAC FUENCARRAL EL PARDO	15/06/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	No
Internet	Fijo	18/09/2017	OFICINA DE GESTION DEL TAXI	20/09/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	Si
